model_idx,sub_idx,configured_Cs,configured_BP,estimated_Cs,estimated_BP,configured_mean_samples
19,15,0.875,40,-2.02443193289592,10.7140946400503,6.31
19,16,0.875,40,1.83577865267186,53.3840778027568,6.31
19,17,0.875,40,-0.609787500759452,32.3986825150424,6.31
19,18,0.875,40,0.56064973311814,30.9817040824806,6.31
19,19,0.875,40,-1.52792455935757,20.5223196007991,6.31
19,20,0.875,40,2.09348440520863,47.0549520300754,6.31
20,1,3,40,2.62739132450551,36.1398510073428,5.5
20,2,3,40,-2.16470868079716,15.6934899434279,5.5
20,3,3,40,-0.289583638656381,12.3289437263438,5.5
20,4,3,40,3.36460148877478,52.7228863634693,5.5
20,5,3,40,1.68854662646625,28.9029996066776,5.5
20,6,3,40,5.29944280425762,53.4682699357564,5.5
20,7,3,40,5.88099883666091,62.0665295075727,5.5
20,8,3,40,1.79390941192467,33.8670519487309,5.5
20,9,3,40,4.97296752907917,55.0033514717559,5.5
20,10,3,40,2.17533141802085,36.3902082114938,5.5
20,11,3,40,-1.5197013167422,1.87920070531345,5.5
20,12,3,40,2.02701873225463,34.0819021184848,5.5
20,13,3,40,6.66851696699801,59.6013204997084,5.5
20,14,3,40,-1.93333746855791,-8.81437837912218,5.5
20,15,3,40,0.0515105866892895,29.4927968471503,5.5
20,16,3,40,3.18522300852726,47.2259418825177,5.5
20,17,3,40,-0.968239611400051,18.6742928643073,5.5
20,18,3,40,1.68421392326394,32.7548949895436,5.5
20,19,3,40,4.56494672802299,67.6806813005306,5.5
20,20,3,40,3.9193849595863,47.9006622135466,5.5
21,1,-5.5,70,-4.84119952834212,79.6757019717306,7.68
21,2,-5.5,70,-14.5035240132065,-7.83456403327952,7.68
21,3,-5.5,70,-32.5568154457158,35.8367949545303,7.68
21,4,-5.5,70,-14.3536263761417,-5.72926945141225,7.68
21,5,-5.5,70,-8.94263003087976,30.1290946964025,7.68
21,6,-5.5,70,-25.6008189721707,35.020738125947,7.68
21,7,-5.5,70,-26.541173126367,16.1329216430235,7.68
21,8,-5.5,70,-4.08617464552285,29.4639018852839,7.68
21,9,-5.5,70,-2.81466974569166,61.6387930647339,7.68
21,10,-5.5,70,-5.4724626182204,25.2745934011422,7.68
21,11,-5.5,70,-14.4760340538229,30.9185707849657,7.68
21,12,-5.5,70,-8.08671441005744,23.591466621272,7.68
21,13,-5.5,70,-15.8394549956754,-11.0354933310584,7.68
21,14,-5.5,70,-15.6237270372735,6.53639742059877,7.68
21,15,-5.5,70,-20.1141908427255,-77.0238526689103,7.68
21,16,-5.5,70,-25.6008189721707,35.020738125947,7.68
21,17,-5.5,70,-15.1720343296389,28.4503197629736,7.68
21,18,-5.5,70,-1.4772696639003,75.7969363915586,7.68
21,19,-5.5,70,-18.2902696336894,14.0386776669726,7.68
21,20,-5.5,70,-11.2543156224907,7.09285540749984,7.68
22,1,-3.375,70,-4.84119952834212,79.6757019717306,7.57
22,2,-3.375,70,-14.5035240132065,-7.83456403327952,7.57
22,3,-3.375,70,-32.5568154457158,35.8367949545303,7.57
22,4,-3.375,70,-14.3536263761417,-5.72926945141225,7.57
22,5,-3.375,70,-2.3374340154313,59.0263860250509,7.57
22,6,-3.375,70,-25.6008189721707,35.020738125947,7.57
22,7,-3.375,70,-5.38137042520459,32.0065252937403,7.57
22,8,-3.375,70,-4.08617464552285,29.4639018852839,7.57
22,9,-3.375,70,-2.81466974569166,61.6387930647339,7.57
22,10,-3.375,70,-5.4724626182204,25.2745934011422,7.57
22,11,-3.375,70,-5.05339870513498,51.2732394153875,7.57
22,12,-3.375,70,-8.08671441005744,23.591466621272,7.57
22,13,-3.375,70,-5.09634395046058,49.6227675980353,7.57
22,14,-3.375,70,-15.6237270372735,6.53639742059877,7.57
22,15,-3.375,70,-8.81314912814398,-9.45741801484749,7.57
