BestFitModel,Source,Position,ValueBin,Success,Trials,PropStop
Biased-prior,Winning model,4,6,14.5366942051524,91,0.159743892364312
Biased-prior,Winning model,4,7,15.7641852987895,79,0.199546649351766
Biased-prior,Winning model,4,8,18.0284339583766,63,0.28616561838693
Biased-prior,Winning model,4,9,21.8265129127248,63,0.346452585916267
Biased-prior,Winning model,4,10,19.8205435939751,47,0.421713693488833
Biased-prior,Winning model,4,11,12.1924973529402,26,0.468942205882315
Biased-prior,Winning model,4,12,3.58897435250858,8,0.448621794063573
Biased-prior,Winning model,5,1,0.250376128366479,14,0.0178840091690342
Biased-prior,Winning model,5,2,3.81308787852507,48,0.0794393308026057
Biased-prior,Winning model,5,3,5.58404797179841,76,0.0734743154184001
Biased-prior,Winning model,5,4,11.720465933981,91,0.128796328944846
Biased-prior,Winning model,5,5,15.0377526493259,97,0.155028377828102
Biased-prior,Winning model,5,6,15.7888396272947,83,0.190226983461382
Biased-prior,Winning model,5,7,17.2299386328873,65,0.265075978967497
Biased-prior,Winning model,5,8,21.3902789760245,61,0.350660311082369
Biased-prior,Winning model,5,9,22.527723698969,56,0.402280780338732
Biased-prior,Winning model,5,10,25.8042310815402,52,0.496235213106543
Biased-prior,Winning model,5,11,9.16502381566325,20,0.458251190783162
Biased-prior,Winning model,5,12,4.97980860954371,10,0.497980860954371
Biased-prior,Winning model,6,1,0.447328915336828,9,0.0497032128152031
Biased-prior,Winning model,6,2,1.59756705907729,38,0.0420412383967709
Biased-prior,Winning model,6,3,5.16074613275262,68,0.0758933254816562
Biased-prior,Winning model,6,4,16.925285978005,101,0.167577088891139
Biased-prior,Winning model,6,5,16.2414603927065,92,0.176537612964201
Biased-prior,Winning model,6,6,17.2895523291769,76,0.227494109594434
Biased-prior,Winning model,6,7,19.1008975674946,51,0.374527403284208
Biased-prior,Winning model,6,8,13.6218105678261,36,0.378383626884058
Biased-prior,Winning model,6,9,21.3846758962887,40,0.534616897407216
Biased-prior,Winning model,6,10,20.1225144946677,35,0.574928985561935
Biased-prior,Winning model,6,11,7.61235506016933,13,0.585565773859179
Biased-prior,Winning model,6,12,7.22014922313044,10,0.722014922313044
Biased-prior,Winning model,7,1,0.633856464713384,18,0.0352142480396325
Biased-prior,Winning model,7,2,3.06284060713646,35,0.0875097316324702
Biased-prior,Winning model,7,3,6.14736059872567,47,0.130794906355865
Biased-prior,Winning model,7,4,17.2660768987905,72,0.239806623594313
Biased-prior,Winning model,7,5,16.7427552182824,59,0.283775512174278
Biased-prior,Winning model,7,6,23.0532952202255,61,0.377922872462713
Biased-prior,Winning model,7,7,29.3705108678997,61,0.481483784719668
Biased-prior,Winning model,7,8,23.5928712909187,43,0.548671425370202
Biased-prior,Winning model,7,9,25.6559344077288,36,0.712664844659134
Biased-prior,Winning model,7,10,16.7349771001264,24,0.697290712505266
Biased-prior,Winning model,7,11,12.5897495589343,17,0.740573503466722
Biased-prior,Winning model,7,12,6.58758039945118,8,0.823447549931397
