Subject,Model,BestFitModel,Position,MeanThreshold,NObs
27,Biased-prior,Biased-prior,7,0.875726334824608,40
27,Cost-to-sample,Biased-prior,1,9.51635945079528,40
27,Cost-to-sample,Biased-prior,2,8.22653751261665,40
27,Cost-to-sample,Biased-prior,3,6.94263248936925,40
27,Cost-to-sample,Biased-prior,4,5.66671954240907,40
27,Cost-to-sample,Biased-prior,5,4.37641644634079,40
27,Cost-to-sample,Biased-prior,6,3.09133264465583,40
27,Cost-to-sample,Biased-prior,7,1.80160929339048,40
28,Biased-prior,Biased-prior,1,0.738329535099641,40
28,Biased-prior,Biased-prior,2,0.700393207425638,40
28,Biased-prior,Biased-prior,3,0.649750840731354,40
28,Biased-prior,Biased-prior,4,0.597486810464713,40
28,Biased-prior,Biased-prior,5,0.517845576903895,40
28,Biased-prior,Biased-prior,6,0.413097550746892,40
28,Biased-prior,Biased-prior,7,0.252679619440406,40
28,Cost-to-sample,Biased-prior,1,-86.2974843528917,40
28,Cost-to-sample,Biased-prior,2,-86.2964559088272,40
28,Cost-to-sample,Biased-prior,3,-86.30216330968,40
28,Cost-to-sample,Biased-prior,4,-86.3021121092465,40
28,Cost-to-sample,Biased-prior,5,-86.3063812075975,40
28,Cost-to-sample,Biased-prior,6,-86.3106365384732,40
28,Cost-to-sample,Biased-prior,7,-86.3155601336696,40
29,Biased-prior,Biased-prior,1,0.742539778527213,40
29,Biased-prior,Biased-prior,2,0.757637020978241,40
29,Biased-prior,Biased-prior,3,0.772530204759282,40
29,Biased-prior,Biased-prior,4,0.789611340397047,40
29,Biased-prior,Biased-prior,5,0.809881023804365,40
29,Biased-prior,Biased-prior,6,0.830531047852243,40
29,Biased-prior,Biased-prior,7,0.795211127750574,40
29,Cost-to-sample,Biased-prior,1,1.75211642800065,40
29,Cost-to-sample,Biased-prior,2,1.58591337248161,40
29,Cost-to-sample,Biased-prior,3,1.41329852811933,40
29,Cost-to-sample,Biased-prior,4,1.23333551949231,40
29,Cost-to-sample,Biased-prior,5,1.04860066030602,40
29,Cost-to-sample,Biased-prior,6,0.852752235089526,40
29,Cost-to-sample,Biased-prior,7,0.622600189378151,40
30,Biased-prior,Cost-to-sample,1,0.853362655829503,40
30,Biased-prior,Cost-to-sample,2,0.864434942973422,40
30,Biased-prior,Cost-to-sample,3,0.867167986621062,40
30,Biased-prior,Cost-to-sample,4,0.855312032390957,40
30,Biased-prior,Cost-to-sample,5,0.82012085376462,40
30,Biased-prior,Cost-to-sample,6,0.754797144256245,40
30,Biased-prior,Cost-to-sample,7,0.636514544894405,40
30,Cost-to-sample,Cost-to-sample,1,1.28014991180418,40
30,Cost-to-sample,Cost-to-sample,2,1.20200302153245,40
30,Cost-to-sample,Cost-to-sample,3,1.11196084615356,40
30,Cost-to-sample,Cost-to-sample,4,1.02485764802203,40
30,Cost-to-sample,Cost-to-sample,5,0.929238735932832,40
30,Cost-to-sample,Cost-to-sample,6,0.812319704711849,40
30,Cost-to-sample,Cost-to-sample,7,0.649660812639882,40
31,Biased-prior,Cut off,1,0.794011687474968,40
31,Biased-prior,Cut off,2,0.810333760062475,40
31,Biased-prior,Cut off,3,0.82726724907686,40
31,Biased-prior,Cut off,4,0.846315890296883,40
31,Biased-prior,Cut off,5,0.870338666069009,40
31,Biased-prior,Cut off,6,0.892851796448735,40
31,Biased-prior,Cut off,7,0.864933191093785,40
31,Cost-to-sample,Cut off,1,2.55261720409727,40
31,Cost-to-sample,Cut off,2,2.26912281227604,40
31,Cost-to-sample,Cut off,3,1.9800380539868,40
31,Cost-to-sample,Cut off,4,1.67856364243983,40
31,Cost-to-sample,Cut off,5,1.38067116556996,40
31,Cost-to-sample,Cut off,6,1.08223452708697,40
31,Cost-to-sample,Cut off,7,0.767004532636494,40
32,Biased-prior,Biased-prior,1,0.655879151685381,40
32,Biased-prior,Biased-prior,2,0.639577077314107,40
32,Biased-prior,Biased-prior,3,0.60725266309962,40
32,Biased-prior,Biased-prior,4,0.56268539395119,40
32,Biased-prior,Biased-prior,5,0.49902308827117,40
32,Biased-prior,Biased-prior,6,0.407802342365016,40
32,Biased-prior,Biased-prior,7,0.26198582502177,40
32,Cost-to-sample,Biased-prior,1,0.28888490721259,40
32,Cost-to-sample,Biased-prior,2,0.301770617901479,40
32,Cost-to-sample,Biased-prior,3,0.305367152994534,40
32,Cost-to-sample,Biased-prior,4,0.304194366384918,40
32,Cost-to-sample,Biased-prior,5,0.298157907652014,40
32,Cost-to-sample,Biased-prior,6,0.271680252232807,40
32,Cost-to-sample,Biased-prior,7,0.221755312019906,40
33,Biased-prior,Cost-to-sample,1,0.903117426994077,40
33,Biased-prior,Cost-to-sample,2,0.914171588291172,40
33,Biased-prior,Cost-to-sample,3,0.925439496882965,40
33,Biased-prior,Cost-to-sample,4,0.937172357683976,40
33,Biased-prior,Cost-to-sample,5,0.951186323731101,40
33,Biased-prior,Cost-to-sample,6,0.966323131824956,40
33,Biased-prior,Cost-to-sample,7,0.965809793390956,40
33,Cost-to-sample,Cost-to-sample,1,110.145083827373,40
33,Cost-to-sample,Cost-to-sample,2,94.4881989789039,40
33,Cost-to-sample,Cost-to-sample,3,78.8358930796728,40
33,Cost-to-sample,Cost-to-sample,4,63.1847081895705,40
33,Cost-to-sample,Cost-to-sample,5,47.5380074537445,40
33,Cost-to-sample,Cost-to-sample,6,31.8985058185675,40
33,Cost-to-sample,Cost-to-sample,7,16.2528686796082,40
34,Biased-prior,Cost-to-sample,1,0.743512882292756,40
34,Biased-prior,Cost-to-sample,2,0.755347437400888,40
34,Biased-prior,Cost-to-sample,3,0.74983428299564,40
34,Biased-prior,Cost-to-sample,4,0.720206453948683,40
34,Biased-prior,Cost-to-sample,5,0.665880023354565,40
34,Biased-prior,Cost-to-sample,6,0.592843178418918,40
34,Biased-prior,Cost-to-sample,7,0.484210712096362,40
34,Cost-to-sample,Cost-to-sample,1,0.998123568938223,40
34,Cost-to-sample,Cost-to-sample,2,0.960298739283827,40
