Subject,Sequence,Model,BestFitModel,NPoints,LinearSlope,LinearR2,LinearBIC,QuadTerm,QuadR2,QuadBIC,DeltaBIC_QuadMinusLinear
3,3,Cost-to-sample,Biased-prior,7,-0.171030756317095,0.99094691027791,-43.9957694449069,-0.00897059309618416,0.999125257129026,-58.4083791151433,-14.4126096702364
3,4,Biased-prior,Biased-prior,6,0.00364085017768427,0.269748441922324,-51.4048938223933,-0.00376061958928538,0.883695406118403,-60.6361934483953,-9.23129962600198
3,4,Cost-to-sample,Biased-prior,6,-0.167491135951257,0.999159633036761,-53.9207178585994,-0.00219846275034046,0.999526871504027,-55.5757882543649,-1.65507039576549
3,5,Biased-prior,Biased-prior,7,0.00596664620661328,0.15655751807353,-46.3176254695894,-0.00570161868944932,0.585432731485622,-49.3435105415569,-3.02588507196755
3,5,Cost-to-sample,Biased-prior,7,-0.186758885342064,0.997099388484676,-50.7747375491493,-0.00537871549602292,0.999580545819021,-62.3648853487244,-11.5901477995751
3,6,Biased-prior,Biased-prior,7,0.00541658421470331,0.183516495120167,-49.0112624225111,-0.0044931162539002,0.562343275218012,-51.4303551552393,-2.41909273272823
3,6,Cost-to-sample,Biased-prior,7,-0.183601346445628,0.9982352485993,-54.4998116784095,-0.00407450420334508,0.999710112591051,-65.1978090811325,-10.697997402723
3,7,Biased-prior,Biased-prior,7,0.00280978251457483,0.0293084954874234,-44.148274907451,-0.00724865369924415,0.614481217039468,-48.6662963115782,-4.51802140412721
3,7,Cost-to-sample,Biased-prior,7,-0.182632117201449,0.993414078424871,-45.3215523952943,-0.00758352452380028,0.998552614958882,-53.9818726199549,-8.66032022466054
3,8,Biased-prior,Biased-prior,7,0.0180200119749043,0.937342660364791,-61.5695088571771,-0.000955982752512278,0.945256907382748,-60.5688061109878,1.00070274618935
3,8,Cost-to-sample,Biased-prior,7,-0.17457280226872,0.993859609024696,-46.4468598348799,-0.00780856770730257,0.999824958476137,-69.4042929819648,-22.9574331470849
3,9,Biased-prior,Biased-prior,3,0.0149445176885854,0.989096227441034,-37.7626836509221,-0.00271776342723617,1,-108.130960167351,-70.3682765164293
3,9,Cost-to-sample,Biased-prior,3,-0.167421067406085,0.994695693865341,-25.4443840743686,-0.0211758038510372,1,-108.130960167351,-82.6865760929829
3,10,Biased-prior,Biased-prior,6,0.00605354017404334,0.676241726795851,-55.6984974703569,-0.00252809847173577,0.927852828044336,-62.9144724767356,-7.21597500637875
3,10,Cost-to-sample,Biased-prior,6,-0.172896902753278,0.999159006427975,-53.535061354156,0.00195963816648203,0.99943282990347,-54.1068504693703,-0.571789115214315
3,11,Biased-prior,Biased-prior,7,0.00775392155631933,0.363928470133232,-50.5294351490484,-0.00428602050284072,0.697510747107704,-53.7863819330361,-3.25694678398771
3,11,Cost-to-sample,Biased-prior,7,-0.168977807815798,0.99830150747687,-55.9301492481201,-0.00382599024074095,0.99983687147972,-70.3849452911507,-14.4547960430306
3,12,Biased-prior,Biased-prior,5,0.0174940962318589,0.998636960412029,-66.7576769667591,0.00044433535536902,0.999538893648424,-70.5674578646006,-3.80978089784149
3,12,Cost-to-sample,Biased-prior,5,-0.164240527122915,0.99434325865874,-37.2257936705737,-0.0100278742846172,0.999532710314107,-48.0846252225366,-10.8588315519628
3,13,Biased-prior,Biased-prior,4,0.00928463648250513,0.996034881793222,-55.8749774070727,-0.000163601344269228,0.996282286786917,-54.7463907083533,1.12858669871939
3,13,Cost-to-sample,Biased-prior,4,-0.16533449006491,0.999228493615778,-39.3986894570978,-0.00487528597193418,0.99992356285195,-47.2598996472609,-7.86121019016313
3,14,Biased-prior,Biased-prior,7,-0.0147340202114595,0.289466891875186,-39.1646430774256,-0.0120293077586263,0.868307381532299,-49.0175478282717,-9.85290475084618
3,14,Cost-to-sample,Biased-prior,7,-0.183060711565289,0.994952000438024,-47.1611603070005,-0.00699790030025396,0.99931382901481,-59.1845934565705,-12.02343314957
